coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
2311926,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:edd2b823-3392-485b-a1e2-b3726619e319,"2015-03-17 14:40:24"
2311960,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:cabefe03-e65c-4100-85ef-a931dcf26e5f,"2015-03-17 14:40:50"
2311963,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:d6fba328-e4e6-404e-b1be-c4106860e30d,"2015-03-17 14:41:19"
2311933,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:37cd0bac-0f57-48fa-b07f-785776f42471,"2015-03-17 14:41:42"
2311964,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:3a734e5f-6242-458f-9244-543a2f193d46,"2015-03-17 14:42:27"
2311918,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:21d2887f-4cee-4340-88a1-cbf1d817bb68,"2015-03-17 14:42:52"
2311976,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:bf017317-f87c-46c2-9e83-5d15630f8663,"2015-03-17 14:43:16"
2311919,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:bd08bf22-0198-4eec-a998-c84498f694a2,"2015-03-17 14:44:12"
2311974,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:d19153bc-005f-4250-a121-33bfbc61e811,"2015-03-17 14:44:34"
2311965,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:aeece0bf-129e-4777-8779-88aefb350e64,"2015-03-17 14:44:55"
